label count
111669150742 57
755914246063 57
1082331759080 57
343597384973 57
979252544145 57
1365799602541 57
1554778161455 57
1099511629697 57
103079216975 57
1597727836388 57
807453851897 57
1554778161342 57
558345749101 57
1425929144660 57
1331439863094 57
515396078340 57
1279900254806 57
17179870917 57
1340029797394 57
1099511628101 57
2565 57
1108101564735 57
180388627711 57
1030792153251 56
1657857378801 56
326417515365 56
214748366151 56
584115554115 56
506806142873 56
1340029798429 56
1606317769180 56
1297080125336 56
463856468594 56
352187320852 56
687194767962 56
171798693137 56
94489282816 56
429496729854 56
841813592525 56
120259086728 55
747324310482 55
987842479719 55
1460288882611 55
395136991257 55
824633722097 55
231928234326 55
712964571715 55
575525618123 55
446676599393 55
197568496620 55
1305670058307 55
927712937086 55
824633722610 55
1580547966042 55
566935685012 55
369367188570 55
523986012506 55
283467843184 55
34359740616 55
704374637346 54
395136993327 54
541165881880 54
231928236686 54
635655161378 54
944892807780 54
1554778162534 54
1614907705466 54
1279900254676 54
790273982717 54
188978562962 54
618475292073 54
171798692911 54
747324309696 54
1408749273652 54
1649267442873 54
1709396985489 54
25769804515 53
266287973983 53
790273982546 53
266287973639 53
618475293074 53
154618824714 53
412316861885 53
1262720387390 53
687194769355 53
824633722724 53
1133871368680 53
180388628569 53
360777254273 53
1314259993247 53
326417514785 53
1133871367349 53
128849020199 53
335007450557 53
609885357096 53
206158432323 53
412316861902 53
1357209666826 53
111669150579 53
1709396983994 52
635655161610 52
60129542779 52
1305670060252 52
257698038843 52
360777255107 52
618475292317 52
506806142152 52
962072676600 52
944892806048 52
274877908381 52
1271310321566 52
858993460213 52
206158430572 52
386547057523 52
987842479617 52
541165879422 52
670014898357 52
704374638707 52
489626272469 52
1468878816211 52
1151051237182 52
1657857376767 52
807453852978 52
1245540518129 51
481036337802 51
1589137900785 51
781684050446 51
1623497638671 51
17179871855 51
1142461302108 51
1005022349320 51
781684049391 51
1494648620223 51
1692217116725 51
412316862329 51
171798692805 51
377957122781 51
8589937206 51
1262720385875 51
721554505965 51
17179869325 51
1503238554068 50
695784702942 50
575525619116 50
747324311664 50
1391569405733 50
1133871367576 50
970662610376 50
146028889642 50
532575946852 50
8589937180 50
506806142160 50
60129542269 50
1142461302831 50
1374389536626 50
884763265342 50
103079217360 50
1451698946614 50
214748367198 50
532575945617 49
944892805337 49
163208758836 49
472446404942 49
1125281432574 49
1580547966432 49
412316861114 49
352187320019 49
85899346528 49
403726926209 49
1125281431875 49
154618824061 49
781684049408 49
1005022347792 49
420906796121 49
1520418423280 49
1460288881879 49
42949673599 49
360777254731 49
34359739587 49
747324312296 49
541165881087 49
231928236518 49
1683627182323 49
455266533918 49
1486058684471 49
1520418424461 48
249108104167 48
609885358476 48
1340029798070 48
1400159339717 48
919123002503 48
1614907705162 48
858993460555 48
790273984702 48
257698040452 48
1365799602448 48
274877907620 48
231928235152 48
1168231104665 48
1030792152435 48
489626273573 48
1202590844846 48
1151051236001 48
395136993736 48
1099511629809 48
1108101563271 48
438086665318 48
369367187475 48
257698039979 48
214748366785 48
1451698946349 48
1116691498422 47
283467843765 47
206158431081 47
352187319381 47
68719478075 47
1382979470369 47
695784701992 47
1108101564917 47
8589936323 47
1443109012267 47
944892807834 47
601295421811 47
1297080124589 47
1425929144745 47
1400159338539 47
584115553854 47
223338300995 47
1228360647875 47
17179869249 47
1168231105381 47
893353199091 47
309237646795 46
171798691996 46
343597384437 46
25769806062 46
1219770714865 46
927712935969 46
1391569406160 46
747324310523 46
609885358105 46
120259086983 46
1640677509618 46
953482742424 46
1125281432709 46
1030792152316 46
1073741825227 46
1116691498714 46
137438953851 46
1580547965452 46
721554507839 46
1125281433479 46
1586 46
824633722583 46
8589936935 46
146028888760 46
764504181030 45
601295423768 45
309237645489 45
953482741901 45
257698039844 45
163208759769 45
1099511628785 45
1460288881118 45
257698040634 45
1597727835118 45
1030792152916 45
420906795298 45
798863919213 45
1185410976058 45
111669151783 45
146028888843 45
137438954332 45
1666447312379 45
1211180779617 45
781684050672 45
1623497638406 45
919123001467 45
